fuente,anio,archivo_zip,archivo_dta,variable,label_dta
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R3PT,Prestaciones sociales del personal permanente - Producción  - Profesional Tecnól
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R3C1,Prestaciones sociales del personal permanente - Producción  - Obreros
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R3C2,Prestaciones sociales del personal permanente - Administrativos
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R3C3,Total  Prestaciones sociales del personal permanente
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R4PT,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R4C1,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R4C2,"Sueldos, salarios y prestaciones sociales del personal contratado directamente"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R4C3,"Total  Sueldos, salarios y prestaciones sociales del personal contratado directa"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R5PT,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R5C1,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R5C2,"Cotizaciones patronales obligatorias, salud, ARP y pensión del personal ocupado"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R5C3,"Total  Cotizaciones patronales obligatorias, salud, ARP y pensión del personal o"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R6PT,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R6C1,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Producción"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R6C2,"Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)  - Administrat"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R6C3,"Total  Aportes sobre nómina (SENA, cajas de compensación familiar, ICBF)"
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R7PT,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R7C1,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R7C2,Aportes voluntarios a compañías de seguros de vida que ampara al personal ocupad
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R7C3,Total  Aportes voluntarios a compañías de seguros de vida que ampara al personal
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R8PT,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R8C1,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R8C2,Valor causado por las empresas que suministran personal temporal al establecimie
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R8C3,Total  Valor causado por las empresas que suministran personal temporal al estab
EAM,2008,EAM_2008.zip,EAM_2008.dta,R1CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789
EAM,2008,EAM_2008.zip,EAM_2008.dta,R2CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789
EAM,2008,EAM_2008.zip,EAM_2008.dta,R3CSAP,Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (Ley 789
EAM,2008,EAM_2008.zip,EAM_2008.dta,R4CSAP,Total  Valor del apoyo de sostenimiento causado por los aprendices y pasantes  (
EAM,2008,EAM_2008.zip,EAM_2008.dta,C3R9PT,Otros gastos del personal no incluidos antes  - Producción  - Profesional Tecnól
