fuente,variable,label_dta,aparece_en_anios,descripcion_diccionario,descripcion_final
EAM,C4R2C9E,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo,17,NA,Total Personal Ocupado  - Mujer -  Producción - Producción - Profesional Tecnólo
EAM,C4R3C1, Temporal contratado directamente por el establecimiento - Mujer  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Mujer  - Producción-
EAM,C4R3C2, Temporal contratado directamente por el establecimiento - Hombre  - Producción-,17,NA, Temporal contratado directamente por el establecimiento - Hombre  - Producción-
EAM,C4R3C3, Temporal contratado directamente por el establecimiento - Mujer  - Administrati,17,NA, Temporal contratado directamente por el establecimiento - Mujer  - Administrati
EAM,C4R3C4, Temporal contratado directamente por el establecimiento - Hombre  - Administrat,17,NA, Temporal contratado directamente por el establecimiento - Hombre  - Administrat
EAM,C4R4C1, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-,17,NA, Temporal contratado  a través de empresas especializadas - Mujer  - Producción-
EAM,C4R4C10T,Total Personal Ocupado Hombre,17,NA,Total Personal Ocupado Hombre
EAM,C4R4C1T," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",17,NA," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad"
EAM,C4R4C2, Temporal contratado  a través de empresas especializadas - Hombre  - Producción,17,NA, Temporal contratado  a través de empresas especializadas - Hombre  - Producción
EAM,C4R4C2T," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad",17,NA," Propietarios, socios y familiares (sin remuneración fija) Total personal ocupad"
EAM,C4R4C3, Temporal contratado  a través de empresas especializadas - Mujer  - Administrat,17,NA, Temporal contratado  a través de empresas especializadas - Mujer  - Administrat
EAM,C4R4C3T,Personal permanente (contrato a término indefinido) - Mujer-  Total Personal ocu,17,NA,Personal permanente (contrato a término indefinido) - Mujer-  Total Personal ocu
EAM,C4R4C4, Temporal contratado  a través de empresas especializadas - Hombre  - Administra,17,NA, Temporal contratado  a través de empresas especializadas - Hombre  - Administra
EAM,C4R4C4T,Personal permanente (contrato a término indefinido) - hombre-  Total Personal oc,17,NA,Personal permanente (contrato a término indefinido) - hombre-  Total Personal oc
EAM,C4R4C5T, Temporal contratado directamente por el establecimiento - Mujer  -Total Persona,17,NA, Temporal contratado directamente por el establecimiento - Mujer  -Total Persona
EAM,C4R4C6T, Temporal contratado directamente por el establecimiento - Hombre  - Total Perso,17,NA, Temporal contratado directamente por el establecimiento - Hombre  - Total Perso
