muestra,outcome,medida,version,beta,ee,p,n_obs,n_firmas
completa,participacion_permanente,exposure_de,tendencia_solo_pre,0.7004644703830257,0.2874837396559523,0.01485674698397266,53991,6179
completa,participacion_permanente,bite_de,sin_tendencia,1.4915864250813278,0.349737297723078,2.036325566604365e-5,44615,5098
completa,participacion_permanente,bite_de,tendencia_conjunta,-1.625491908676898,0.34277888896587355,2.172797311581504e-6,44615,5098
completa,participacion_permanente,bite_de,tendencia_solo_pre,-1.682710034541878,0.3498854353138594,1.5580763289714969e-6,44615,5098
comun,empleo_total,exposure_de,sin_tendencia,2.456156503249146,1.4489890831535337,0.09012079125337927,44630,5098
comun,empleo_total,exposure_de,tendencia_conjunta,-0.7381377643098324,1.2830073898516194,0.5651013724256657,44630,5098
comun,empleo_total,exposure_de,tendencia_solo_pre,-0.814866597530005,1.4490859337660669,0.5739149418439977,44630,5098
comun,empleo_total,bite_de,sin_tendencia,-1.7279307994131738,1.3428505781515052,0.1982352500277126,44630,5098
comun,empleo_total,bite_de,tendencia_conjunta,-1.3620849224225773,1.3017622380027438,0.295454046847826,44630,5098
comun,empleo_total,bite_de,tendencia_solo_pre,-1.3004263944887395,1.3428545445124433,0.3328883372891859,44630,5098
comun,empleo_permanente,exposure_de,sin_tendencia,2.094708521489169,1.0545186972482576,0.04704106987394855,44630,5098
comun,empleo_permanente,exposure_de,tendencia_conjunta,0.9672236100742544,0.8759977547374911,0.26958480654503586,44630,5098
comun,empleo_permanente,exposure_de,tendencia_solo_pre,0.863449653063569,1.054571371566065,0.4129568747694159,44630,5098
comun,empleo_permanente,bite_de,sin_tendencia,1.381584614736775,1.0391257172153094,0.18372131715082674,44630,5098
comun,empleo_permanente,bite_de,tendencia_conjunta,-2.2756354371437446,0.8793912523121528,0.009688213258291134,44630,5098
comun,empleo_permanente,bite_de,tendencia_solo_pre,-2.359352696908132,1.039193427095286,0.023226754277200584,44630,5098
comun,empleo_temporal,exposure_de,sin_tendencia,0.3065194541687773,0.7965491404893046,0.7003948221305069,44630,5098
comun,empleo_temporal,exposure_de,tendencia_conjunta,-1.8246034742081054,0.8043047450790746,0.02333750288175774,44630,5098
comun,empleo_temporal,exposure_de,tendencia_solo_pre,-1.801794652178734,0.7965378646311192,0.02373732383850519,44630,5098
comun,empleo_temporal,bite_de,sin_tendencia,-3.0787758781119128,0.798077740615178,1.1585325732794169e-4,44630,5098
comun,empleo_temporal,bite_de,tendencia_conjunta,0.8657463491780684,0.8123315855422272,0.2865849440415137,44630,5098
comun,empleo_temporal,bite_de,tendencia_solo_pre,1.0107400613794986,0.7982288322522464,0.20548916891141356,44630,5098
comun,participacion_permanente,exposure_de,sin_tendencia,0.5655262452260269,0.3265534313162017,0.08336912850207809,44615,5098
comun,participacion_permanente,exposure_de,tendencia_conjunta,0.33598601882620804,0.3045778744768964,0.2700270305676526,44615,5098
comun,participacion_permanente,exposure_de,tendencia_solo_pre,0.29488049592988774,0.3265552666295959,0.36656679543178516,44615,5098
comun,participacion_permanente,bite_de,sin_tendencia,1.4915864250813278,0.349737297723078,2.036325566604365e-5,44615,5098
comun,participacion_permanente,bite_de,tendencia_conjunta,-1.625491908676898,0.34277888896587355,2.172797311581504e-6,44615,5098
comun,participacion_permanente,bite_de,tendencia_solo_pre,-1.682710034541878,0.3498854353138594,1.5580763289714969e-6,44615,5098
