termino,anio,beta,ee,ic_inf,ic_sup,muestra,outcome,medida
ANIO_F::2021:bite_de,2021,-0.9522108395152977,0.28697309696917117,-1.5146781095748731,-0.3897435694557222,completa,participacion_permanente,bite_de
referencia,2022,0,0,0,0,completa,participacion_permanente,bite_de
ANIO_F::2023:bite_de,2023,-0.9913454116288218,0.2901999498781215,-1.5601373133899399,-0.4225535098677038,completa,participacion_permanente,bite_de
ANIO_F::2024:bite_de,2024,-0.8863675537176428,0.3402106361360233,-1.5531804005442484,-0.21955470689103707,completa,participacion_permanente,bite_de
ANIO_F::2015:exposure_de,2015,-2.985816542880084,2.147402957264625,-7.194726339118748,1.2230932533585808,comun,empleo_total,exposure_de
ANIO_F::2016:exposure_de,2016,-4.806356991493405,1.6243495461176611,-7.9900821018840205,-1.622631881102789,comun,empleo_total,exposure_de
ANIO_F::2017:exposure_de,2017,-5.088436097607915,1.5768406360867517,-8.17904374433795,-1.9978284508778819,comun,empleo_total,exposure_de
ANIO_F::2018:exposure_de,2018,-3.9634944481236607,1.3410786942941417,-6.5920086889401786,-1.3349802073071428,comun,empleo_total,exposure_de
ANIO_F::2019:exposure_de,2019,-3.0531712641900612,1.4098496865361048,-5.816476649800826,-0.2898658785792958,comun,empleo_total,exposure_de
ANIO_F::2021:exposure_de,2021,-0.8708241643524186,0.8365204395200444,-2.5104042258117056,0.7687558971068684,comun,empleo_total,exposure_de
referencia,2022,0,0,0,0,comun,empleo_total,exposure_de
ANIO_F::2023:exposure_de,2023,-1.0508314102007161,1.0166749558573354,-3.0435143236810935,0.941851503279661,comun,empleo_total,exposure_de
ANIO_F::2024:exposure_de,2024,0.1400147691451501,1.681608515133015,-3.155937920515559,3.4359674588058593,comun,empleo_total,exposure_de
ANIO_F::2015:bite_de,2015,1.052535240649045,2.0289001093874317,-2.924108973750321,5.029179455048411,comun,empleo_total,bite_de
ANIO_F::2016:bite_de,2016,0.378336124393154,2.2421631319075095,-4.016303614145565,4.772975862931872,comun,empleo_total,bite_de
ANIO_F::2017:bite_de,2017,1.3298169751168452,2.106276704320019,-2.798485365350392,5.458119315584082,comun,empleo_total,bite_de
ANIO_F::2018:bite_de,2018,1.047950729801557,1.8432026327731341,-2.564726430433786,4.6606278900369,comun,empleo_total,bite_de
ANIO_F::2019:bite_de,2019,0.7898813369087285,1.5487773925775143,-2.2457223525431997,3.8254850263606563,comun,empleo_total,bite_de
ANIO_F::2021:bite_de,2021,1.0561001298043362,1.330568853723554,-1.5518148234938296,3.664015083102502,comun,empleo_total,bite_de
referencia,2022,0,0,0,0,comun,empleo_total,bite_de
ANIO_F::2023:bite_de,2023,-1.0351632074325685,1.4046308306275848,-3.7882396354626344,1.7179132205974976,comun,empleo_total,bite_de
ANIO_F::2024:bite_de,2024,-0.809138729640801,1.6228159105850983,-3.989857914387594,2.371580455105992,comun,empleo_total,bite_de
ANIO_F::2015:exposure_de,2015,-1.3307260842098851,1.5868509474159296,-4.440953941145107,1.7795017727253368,comun,empleo_permanente,exposure_de
ANIO_F::2016:exposure_de,2016,-1.756083109736868,1.2372734190794648,-4.181139011132619,0.6689727916588828,comun,empleo_permanente,exposure_de
ANIO_F::2017:exposure_de,2017,-2.275147124214506,1.1985448417605342,-4.624295014065153,0.074000765636141,comun,empleo_permanente,exposure_de
ANIO_F::2018:exposure_de,2018,-2.4550673755438286,1.0171651139119273,-4.448710998811206,-0.46142375227645105,comun,empleo_permanente,exposure_de
ANIO_F::2019:exposure_de,2019,-1.02527620514037,0.962048542618826,-2.9108913486732693,0.8603389383925288,comun,empleo_permanente,exposure_de
ANIO_F::2021:exposure_de,2021,-1.0397599228417629,0.45266716830354153,-1.9269875727167043,-0.15253227296682148,comun,empleo_permanente,exposure_de
referencia,2022,0,0,0,0,comun,empleo_permanente,exposure_de
ANIO_F::2023:exposure_de,2023,0.5534429694758243,0.6520819598765112,-0.7246376718821377,1.8315236108337862,comun,empleo_permanente,exposure_de
ANIO_F::2024:exposure_de,2024,0.8452572506264651,1.2472527849529844,-1.5993582078813842,3.2898727091343143,comun,empleo_permanente,exposure_de
ANIO_F::2015:bite_de,2015,-4.470143034443987,1.555120703221113,-7.518179612757368,-1.422106456130606,comun,empleo_permanente,bite_de
ANIO_F::2016:bite_de,2016,-4.7556863648868,1.657228303066518,-8.003853838897175,-1.5075188908764243,comun,empleo_permanente,bite_de
ANIO_F::2017:bite_de,2017,-3.4690962816264985,1.5813444606324563,-6.568531424466112,-0.36966113878688445,comun,empleo_permanente,bite_de
ANIO_F::2018:bite_de,2018,-2.5118106381732157,1.4169602656258435,-5.289052758799869,0.2654314824534376,comun,empleo_permanente,bite_de
ANIO_F::2019:bite_de,2019,-2.0363405196874114,1.077263244006264,-4.147776477939688,0.07509543856486589,comun,empleo_permanente,bite_de
ANIO_F::2021:bite_de,2021,-0.3541206601370932,0.8522655596755098,-2.0245611571010924,1.316319836826906,comun,empleo_permanente,bite_de
referencia,2022,0,0,0,0,comun,empleo_permanente,bite_de
ANIO_F::2023:bite_de,2023,-1.1491720695691783,0.8795512063274407,-2.873092433970962,0.5747482948326055,comun,empleo_permanente,bite_de
