NORDEST,NORDEMP,ANIO
142052,142268,2013
142052,142268,2014
142052,142268,2015
142052,142268,2016
142052,142268,2017
142052,142268,2018
142052,978435,2019
142052,978435,2020
142052,978435,2021
142052,978435,2022
142052,978435,2023
142052,978435,2024
142061,142277,2013
142061,142277,2014
142061,142277,2015
142061,142277,2016
142061,142277,2017
142061,142277,2018
142061,978380,2019
142061,978380,2020
142061,978380,2021
142061,978380,2022
142061,978380,2023
142061,978380,2024
142124,142327,2013
142124,142327,2014
142124,142327,2015
142124,142327,2016
142124,142327,2017
142124,142327,2018
142124,142327,2019
142124,142327,2020
142124,142327,2021
142124,142327,2022
142124,146088,2023
142124,146088,2024
142125,142327,2013
142125,142327,2014
142125,142327,2015
142125,142327,2016
142125,142327,2017
142125,142327,2018
142125,142327,2019
142125,142327,2020
142125,142327,2021
142125,142327,2022
142125,146088,2023
142125,146088,2024
142241,982385,2011
142241,982385,2012
142241,982385,2013
142241,982385,2014
142241,982385,2015
142241,982385,2016
142241,982385,2017
142241,984365,2018
142241,984365,2019
142241,984365,2020
142241,984365,2021
142241,984365,2022
142241,984365,2023
142271,142361,2010
142271,142361,2011
142271,142361,2012
142271,142361,2013
142271,142361,2014
142271,142361,2015
142271,142361,2016
142271,142361,2017
142271,142361,2018
142271,141446,2019
142271,141446,2020
142272,142361,2010
142272,142361,2011
142272,142361,2012
142272,142361,2013
142272,142361,2014
142272,142361,2015
142272,142361,2016
142272,141446,2017
142272,141446,2018
142272,141446,2019
142272,141446,2020
142272,141446,2021
142272,141446,2022
142272,141446,2023
142272,141446,2024
142373,142456,2010
142373,142456,2011
142373,142456,2012
142373,142456,2013
142373,975709,2014
142373,975709,2015
142373,975709,2016
142373,975709,2017
142373,975709,2018
142373,975709,2019
142373,975709,2020
142373,975709,2021
142373,975709,2022
142373,975822,2023
142373,982172,2024
142442,142525,2010
142442,142525,2011
142442,142525,2012
142442,142525,2013
142442,142525,2014
142442,142525,2015
142442,142525,2016
142442,142525,2017
142442,142525,2018
142442,142525,2019
142442,142525,2020
142442,142525,2021
142442,142525,2022
142442,978415,2023
142442,978415,2024
142768,142855,2010
142768,142855,2011
142768,142855,2012
142768,142855,2013
142768,142855,2014
142768,142855,2015
142768,146353,2016
142768,146353,2017
142768,146353,2018
142768,146353,2019
142768,146353,2020
142768,146353,2021
142768,146353,2022
143440,143524,2010
143440,143524,2011
143440,143524,2012
143440,143524,2013
143440,143524,2014
143440,143524,2015
143440,143524,2016
143440,143524,2017
143440,984281,2018
143440,984281,2019
143440,984281,2020
143440,984281,2021
143444,367118,2010
143444,367118,2011
143444,367118,2012
143444,367118,2013
143444,367118,2014
143444,367118,2015
143444,367118,2016
143444,141445,2017
143662,143728,2010
143662,143728,2011
143662,143728,2012
143662,143728,2013
143662,143728,2014
143662,427310,2015
143662,427310,2016
143662,427310,2017
143735,143801,2011
143735,143801,2012
143735,143801,2013
143735,143801,2014
143735,427310,2015
143759,143825,2011
143759,143825,2012
143759,143825,2013
143759,143825,2014
143759,143825,2015
143759,143825,2016
143759,143825,2017
143759,143825,2018
143759,143825,2019
143759,143825,2020
143759,143825,2021
143759,143825,2022
143759,142962,2023
143759,142962,2024
143942,143969,2009
143942,978840,2010
144135,144163,2009
144135,144163,2011
144135,144163,2012
144135,144163,2013
144135,144163,2014
144135,144163,2015
144135,144163,2016
144135,144163,2017
144135,975719,2018
144135,975719,2019
144135,975719,2020
144135,975719,2021
144135,975719,2022
144135,975719,2023
144135,975719,2024
145159,145242,2009
145159,145242,2010
145159,145242,2011
145159,145242,2012
145159,145242,2013
145159,145242,2016
145159,145242,2017
145159,145242,2018
145159,145242,2019
145159,145242,2020
145159,141234,2022
145159,141234,2023
145159,141234,2024
145341,145424,2009
145341,145424,2010
145341,145424,2011
145341,145424,2012
145341,145424,2013
145341,145424,2014
145341,145424,2015
145341,145424,2016
145341,145424,2017
145341,145424,2018
145341,145424,2019
145341,145424,2020
145341,145424,2021
145341,145424,2022
145341,141160,2023
145341,141160,2024
145642,145741,2009
145642,145741,2010
145642,145741,2011
145642,145741,2012
145642,145741,2013
145642,145741,2014
145642,145741,2015
145642,145741,2016
145642,145741,2017
145642,145741,2018
145642,145741,2019
145642,145741,2020
145642,145741,2021
145642,145741,2022
145642,145741,2023
145642,985153,2024
145789,145884,2009
145789,145884,2010
145789,145884,2011
145789,145884,2012
145789,145884,2013
145789,145884,2014
145789,141812,2015
145789,141812,2016
145789,141812,2017
145789,141812,2018
145789,141812,2019
145789,141812,2020
145789,141812,2021
145789,141812,2022
145789,141812,2023
145789,141812,2024
145826,145911,2009
145826,145911,2010
145826,145911,2011
145826,145911,2012
145826,145911,2013
145826,145911,2014
145826,145911,2015
145826,145911,2016
145826,145911,2017
145826,141368,2018
145826,145911,2019
145826,145911,2020
145826,145911,2021
145826,145911,2022
145826,145911,2023
145826,145911,2024
145835,866701,2009
145835,866701,2010
145835,866701,2011
145835,866701,2012
145835,866701,2013
145835,866701,2014
145835,141828,2015
145835,141828,2016
145835,141828,2017
145835,141828,2018
145835,141828,2019
145835,141828,2020
145835,141828,2021
146077,146150,2008
146077,146150,2009
146077,146150,2010
146077,146150,2011
146077,146150,2012
146077,146150,2013
146077,146150,2014
146077,146150,2015
146077,146150,2016
146077,146150,2017
146077,146150,2018
146077,146150,2019
146077,146150,2020
146077,146150,2021
146077,146150,2022
146077,976359,2024
146209,146285,2008
146209,146285,2009
146209,146285,2010
146209,146285,2011
146209,146285,2012
146209,146285,2013
146209,146285,2014
146209,146285,2015
146209,146285,2016
146209,146285,2017
146209,146285,2018
146209,146285,2019
146209,146285,2020
146209,146285,2021
146209,146285,2022
146209,976009,2023
146209,976009,2024
146242,146324,2008
146242,146324,2009
146242,146324,2010
146242,146324,2011
146242,146324,2012
146242,146324,2013
146242,146324,2014
146242,146324,2015
146242,146324,2016
146242,146324,2017
146242,146324,2018
146242,976103,2020
146242,976103,2021
146242,976103,2022
146242,976103,2023
146242,976103,2024
146434,146525,2008
146434,146525,2009
146434,146525,2010
146434,146525,2011
146434,146525,2012
146434,146525,2013
146434,146525,2014
146434,146525,2015
146434,146525,2016
146434,146525,2017
146434,146525,2018
146434,147526,2019
146434,147526,2020
146434,147526,2021
146434,147526,2022
146434,147526,2023
146434,147526,2024
146511,982270,2008
146511,982270,2009
146511,982270,2010
146511,982270,2011
146511,982270,2012
146511,982270,2013
146511,982270,2014
146511,982310,2015
146511,982310,2016
146511,982310,2017
146511,982310,2018
146511,982310,2019
146511,982310,2020
146511,982310,2021
146511,982310,2022
146511,982310,2023
146511,982310,2024
146748,979083,2008
146748,979083,2009
146748,979083,2010
146748,979083,2011
146748,979083,2012
146748,979083,2013
146748,979083,2014
146748,979083,2015
146748,979083,2016
146748,141463,2017
146748,141463,2018
147106,147136,2008
147106,147136,2009
147106,147136,2010
147106,147136,2011
147106,147136,2012
147106,147136,2013
147106,147136,2014
147106,147136,2015
147106,147136,2016
147106,427431,2019
147106,427431,2020
147106,427431,2021
147106,427431,2022
147106,427431,2023
147106,427431,2024
147127,147156,2008
147127,147156,2009
147127,147156,2010
147127,147156,2011
147127,147156,2012
147127,147156,2013
147127,147156,2014
147127,147156,2015
147127,147156,2016
147127,982079,2017
147127,982079,2018
147127,982079,2019
147127,982079,2020
147127,982079,2021
147127,982079,2022
147127,982079,2023
147127,982079,2024
147151,147618,2008
147151,147618,2009
147151,147618,2010
147151,147618,2011
147151,147618,2012
147151,975905,2013
147151,975905,2014
147151,975905,2015
147151,975905,2016
147151,975905,2017
147151,975905,2018
147151,975905,2019
147151,975905,2020
147151,975905,2021
147151,975905,2022
147151,975905,2023
147151,975905,2024
147163,147186,2008
147163,147186,2009
147163,147186,2010
147163,147186,2011
147163,147186,2012
147163,147186,2013
147163,147186,2014
147163,147186,2015
147163,147186,2016
147163,147186,2017
147163,147186,2018
147163,147186,2019
147163,147186,2020
147163,147186,2021
147163,141238,2022
147163,141238,2023
147163,141238,2024
147230,147248,2008
147230,147248,2009
147230,147248,2010
147230,147248,2011
147230,147248,2012
147230,147248,2013
147230,147248,2014
147230,978063,2015
147230,978063,2016
147230,978063,2017
147388,147401,2008
147388,147401,2009
147388,147401,2010
147388,147401,2011
147388,147401,2012
147388,147401,2013
147388,147401,2014
147388,147401,2015
147388,147401,2016
147388,147401,2017
147388,147401,2018
147388,147401,2019
147388,147401,2020
147388,977310,2023
147388,977310,2024
147394,147407,2009
147394,147407,2010
147394,147407,2011
147394,147407,2012
147394,147407,2013
147394,147407,2014
147394,427310,2015
147615,147618,2008
147615,147618,2009
147615,147618,2010
147615,147618,2011
147615,147618,2012
147615,975905,2013
147615,975905,2014
217177,978378,2008
217177,978378,2009
217177,978378,2010
217177,978378,2011
217177,978378,2012
217177,978378,2013
217177,978378,2014
217177,141830,2015
217177,141830,2016
217177,141830,2017
217177,141830,2018
217177,141830,2019
217177,141830,2020
217177,141830,2021
217177,141830,2022
217177,141830,2023
217177,141830,2024
217233,217248,2008
217233,217248,2009
217233,217248,2010
217233,217248,2011
217233,217248,2012
217233,217248,2013
217233,975592,2014
217233,975592,2015
217233,975592,2016
217233,975592,2017
217233,975592,2018
217233,975592,2019
217233,975592,2020
217233,975592,2021
217233,975592,2022
217233,975592,2023
217233,975592,2024
217594,978378,2008
217594,978378,2009
217594,978378,2010
217594,978378,2011
217594,978378,2012
217594,142323,2013
217594,142323,2014
217594,142323,2015
217594,142323,2016
217594,142323,2017
217594,142323,2018
366574,366640,2010
366574,366640,2011
366574,366640,2012
366574,366640,2013
366574,366640,2014
366574,366640,2015
366574,366640,2016
366574,366640,2017
366574,366640,2019
366574,366640,2020
366574,141270,2021
366574,141270,2022
366574,141270,2023
366574,141270,2024
366580,366646,2008
366580,366646,2009
366580,366646,2010
366580,366646,2011
366580,366646,2012
366580,366646,2013
366580,366646,2014
366580,366646,2015
366580,366646,2016
366580,366646,2017
366580,366646,2018
366580,366646,2019
366580,366646,2020
366580,366646,2021
366580,366646,2022
366580,366708,2023
366580,366708,2024
366711,366775,2008
366711,142859,2012
366711,142859,2013
366711,142859,2014
366711,142859,2015
366711,142859,2016
366711,142859,2017
366711,142859,2018
366711,142859,2019
366711,142859,2020
366719,366783,2008
366719,366783,2009
366719,366783,2010
366719,366783,2011
366719,366783,2012
366719,367103,2013
366719,367103,2014
366719,367103,2015
366719,367103,2016
366719,367103,2017
366719,367103,2018
366719,367103,2019
366719,367103,2020
366719,367103,2021
366719,367103,2022
366719,367103,2023
366719,367103,2024
366887,366936,2008
366887,366936,2009
366887,366936,2010
366887,366936,2011
366887,366936,2012
366887,366936,2013
366887,366936,2014
366887,366936,2015
366887,366936,2016
366887,366936,2017
366887,366936,2018
366887,366936,2019
366887,366936,2020
366887,366936,2021
366887,366936,2022
366887,975572,2023
366887,975572,2024
366895,366944,2008
366895,366944,2009
366895,366944,2010
366895,366944,2011
366895,366944,2012
366895,366944,2013
366895,366944,2014
366895,366944,2015
366895,366944,2016
366895,366944,2017
366895,366944,2018
366895,366944,2019
366895,366944,2020
366895,366944,2021
366895,978384,2022
366895,978384,2023
366895,978384,2024
367060,367102,2008
367060,367102,2009
367060,367102,2010
367060,367102,2011
367060,367102,2012
367060,367102,2013
367060,367102,2014
367060,367102,2015
367060,367102,2016
367060,367102,2017
367060,367102,2018
367060,367102,2019
367060,367102,2020
367060,367102,2021
367060,367102,2022
367060,975572,2023
367060,975572,2024
367061,367103,2008
367061,367103,2009
367061,367103,2010
367061,367103,2011
367061,367103,2012
367061,367103,2013
367061,141841,2014
367061,141841,2015
367061,141841,2016
367061,141841,2017
367061,141841,2018
367061,141841,2019
367061,141841,2020
367061,141841,2021
367061,141841,2022
367061,141841,2023
367061,141841,2024
367074,367116,2008
367074,367116,2009
367074,367116,2010
367074,367368,2011
367074,367368,2012
367074,367368,2013
367074,367368,2014
367074,367368,2015
367074,367116,2016
367074,367116,2017
367074,367116,2018
367074,367116,2019
367074,367116,2020
367074,367116,2021
367086,367127,2008
367086,367127,2009
367086,367136,2010
367086,367136,2011
367086,367136,2012
367086,367136,2013
367086,367136,2014
367086,367136,2015
367086,367136,2016
367086,367136,2017
367094,367135,2008
367094,367135,2009
367094,367135,2010
367094,367135,2011
367094,367135,2012
367094,367135,2013
367094,367135,2014
367094,367135,2015
367094,367135,2016
367094,367135,2017
367094,367116,2018
367094,367116,2019
367094,367116,2020
367094,367116,2021
367507,367516,2008
367507,367516,2009
367507,367516,2010
367507,367516,2011
367507,367516,2012
367507,367516,2013
367507,367413,2014
367507,367413,2015
367507,367413,2016
367507,367413,2017
367507,367413,2018
367507,367413,2019
367507,367413,2020
367517,979932,2008
367517,979932,2009
367517,979932,2010
367517,979932,2011
367517,979932,2012
367517,142325,2013
367517,142325,2014
367517,142325,2015
367517,142325,2016
367517,142325,2017
367517,142325,2018
367517,142325,2019
367517,142325,2020
367517,142325,2021
367517,142325,2022
367517,142325,2023
367517,142325,2024
367524,367532,2008
367524,367532,2009
367524,367532,2010
367524,367532,2011
367524,367532,2012
367524,142338,2013
367524,142338,2014
367524,142338,2015
367524,142338,2016
367524,142338,2017
367524,142338,2018
367524,142338,2019
367524,142338,2020
367524,142338,2021
367524,142338,2022
367524,142338,2023
367524,142338,2024
367650,367649,2008
367650,367649,2009
367650,367649,2010
367650,367649,2011
367650,367649,2012
367650,982062,2016
367650,982062,2017
367650,982062,2018
367650,982062,2019
367650,982062,2020
367650,982062,2021
367650,982062,2022
367650,982062,2023
367650,982062,2024
427241,427252,2008
427241,427252,2009
427241,427252,2010
427241,427252,2011
427241,427252,2012
427241,142316,2013
427241,142316,2014
427241,142316,2015
427241,142316,2016
427241,142316,2017
427241,142316,2018
427241,142316,2019
427241,142316,2020
427241,142316,2021
427241,142316,2022
427241,142316,2023
427241,142316,2024
427266,427276,2008
427266,427276,2009
427266,427276,2010
427266,427276,2011
427266,427276,2012
427266,427276,2013
427266,427276,2014
427266,427276,2015
427266,427276,2016
427266,427276,2017
427266,427276,2018
427266,427276,2019
427266,143630,2020
427266,143630,2021
427266,143630,2022
427266,143630,2023
427266,143630,2024
865326,865515,2008
865326,865515,2009
865326,865515,2010
865326,975592,2011
865330,865519,2008
865330,865519,2009
865330,865519,2010
865330,984086,2011
865330,984086,2012
865330,984086,2013
865330,984086,2014
865330,984086,2015
865330,984086,2016
865330,984086,2017
865330,984086,2018
865330,984086,2019
865330,984086,2020
865330,984086,2021
865330,984086,2022
865330,984086,2023
865330,984086,2024
865419,865605,2008
865419,865605,2009
865419,865605,2010
865419,865605,2011
865419,865605,2012
865419,865605,2013
865419,865605,2014
865419,865605,2015
865419,865605,2016
865419,865605,2017
865419,865605,2018
865419,865605,2019
865419,865605,2020
865419,865605,2021
865419,867346,2022
865419,867346,2023
865419,867346,2024
865507,982336,2008
865507,982336,2009
865507,982336,2010
865507,982336,2011
865507,985212,2012
865507,985212,2013
865507,985212,2014
865507,985212,2015
865507,985212,2016
865507,985212,2017
865507,985212,2018
865969,866105,2008
865969,866105,2009
865969,866105,2010
865969,866105,2011
865969,866105,2012
865969,866105,2013
865969,866105,2014
865969,866105,2015
865969,866105,2016
865969,866105,2017
865969,866105,2018
865969,866105,2019
865969,141235,2022
865969,141235,2023
865969,141235,2024
866290,866424,2008
866290,866424,2009
866290,866424,2010
866290,866424,2011
866290,866424,2012
866290,866424,2013
866290,866424,2014
866290,866424,2015
866290,866424,2016
866290,866424,2017
866290,866424,2018
866290,866424,2019
866290,866424,2020
866290,866424,2021
866290,866424,2022
866290,866424,2023
866290,982523,2024
866482,866609,2008
866482,866609,2009
866482,866609,2010
866482,983901,2011
866482,983901,2012
866482,983901,2013
866482,983901,2014
866482,983901,2015
866482,983901,2016
866732,866852,2008
866732,866852,2009
866732,866852,2010
866732,983901,2011
866732,983901,2012
866732,983901,2013
866732,983901,2014
866732,983901,2015
866732,983901,2016
866786,866904,2008
866786,866904,2009
866786,866904,2010
866786,866904,2011
866786,866904,2012
866786,866904,2013
866786,866904,2014
866786,866904,2015
866786,866904,2016
866786,866904,2017
866786,866904,2018
866786,866904,2019
866786,866904,2020
866786,141103,2024
866829,866943,2009
866829,866943,2010
866829,866943,2011
866829,866943,2012
866829,866943,2013
866829,866943,2014
866829,866943,2015
866829,866943,2016
866829,866943,2017
866829,866943,2018
866829,866943,2019
866829,866943,2020
866829,986337,2021
866829,986337,2022
866829,986337,2023
866829,986337,2024
866983,982270,2008
866983,982270,2009
866983,982270,2010
866983,982270,2011
866983,982270,2012
866983,982270,2013
866983,982270,2014
866983,982310,2015
866983,982310,2016
866983,982310,2017
866983,982310,2018
866983,982310,2019
866983,982310,2020
866983,982310,2021
866983,982310,2022
866983,982310,2023
866983,982310,2024
867306,867344,2008
867306,867344,2009
867306,867344,2010
867306,979932,2011
867306,979932,2012
867306,979932,2013
867306,979932,2014
867619,984281,2008
867619,984281,2009
867619,984281,2010
867619,984281,2011
867619,984281,2012
867619,984281,2013
867619,984281,2014
867619,984281,2015
867619,984281,2016
867619,984281,2017
867619,143524,2018
867619,143524,2019
867619,143524,2020
867619,143524,2021
867619,143524,2022
867619,143524,2023
867619,143524,2024
867646,867649,2008
867646,867649,2009
867646,867649,2010
867646,867649,2011
867646,867649,2012
867646,867649,2013
867646,867649,2014
867646,867649,2015
867646,867649,2016
867646,867649,2017
867646,867649,2018
867646,867649,2019
867646,867649,2020
867646,982393,2023
867646,982393,2024
973314,973275,2008
973314,973275,2009
973314,973275,2010
973314,973275,2011
973314,973275,2012
973314,973275,2013
973314,973275,2014
973314,973275,2015
973314,987574,2016
973314,987574,2017
973314,987574,2018
973314,987574,2019
973314,987574,2020
973314,987574,2021
973314,987574,2022
973314,987574,2023
973314,987574,2024
973425,973428,2008
973425,973428,2009
973425,973428,2010
973425,983901,2011
973425,983901,2012
973425,983901,2013
973425,983901,2014
973425,983901,2015
973425,983901,2016
973425,983901,2017
973425,983901,2018
973425,983901,2019
973425,983901,2020
973425,983901,2021
973425,983901,2022
973425,983901,2023
973425,983901,2024
973485,973488,2008
973485,973488,2009
973485,973488,2010
973485,973488,2011
973485,973488,2012
973485,973488,2013
973485,980662,2014
973485,980662,2015
973485,980662,2016
973485,980662,2017
973652,987644,2008
973652,980662,2009
973652,980662,2010
973652,980662,2011
973652,980662,2012
973652,980662,2013
973652,980662,2014
973652,980662,2015
973652,980662,2016
973652,980662,2017
973652,980662,2018
973652,980662,2019
973652,980662,2020
973652,980662,2021
973652,980662,2022
973652,980662,2023
973652,980662,2024
975057,982198,2008
975057,982198,2009
975057,982198,2010
975057,982198,2011
975057,978435,2016
975057,978435,2017
975057,978435,2018
975057,978435,2019
975057,978435,2020
975057,978435,2021
975057,978435,2022
975057,978435,2023
975057,978435,2024
975224,975709,2008
975224,975709,2009
975224,975709,2010
975224,975709,2011
975224,975709,2012
975224,975709,2013
975224,975709,2014
975224,975709,2015
975224,975709,2016
975224,975709,2017
975224,975709,2018
975224,975709,2019
975224,975709,2020
975224,975709,2021
975224,975709,2022
975224,975822,2023
975224,982172,2024
975281,975729,2008
975281,975729,2009
975281,975729,2010
975281,975729,2011
975281,975729,2012
975281,975729,2013
975281,975729,2014
975281,975729,2015
975281,976002,2016
975281,976002,2017
975281,976002,2018
975281,976002,2019
975281,976002,2020
975281,976002,2021
975419,975822,2008
975419,975822,2009
975419,975822,2010
975419,975822,2011
975419,975822,2012
975419,975822,2013
975419,975822,2014
975419,975822,2015
975419,975822,2016
975419,975822,2017
975419,975822,2018
975419,975822,2019
975419,975822,2020
975419,975822,2021
975419,975822,2022
975419,975822,2023
975419,982172,2024
975509,975912,2008
975509,975912,2009
975509,975912,2010
975509,975912,2011
975509,975912,2012
975509,975912,2013
975509,975912,2014
975509,975912,2015
975509,975912,2016
975509,986337,2017
975509,986337,2018
975509,986337,2019
975509,986337,2020
975647,976050,2008
975647,976050,2009
975647,976050,2010
975647,976050,2011
975647,976050,2012
975647,976050,2013
975647,976050,2014
975647,976050,2015
975647,976050,2016
975647,976050,2017
975647,147151,2018
975647,147151,2019
975647,147151,2020
975647,147151,2021
975647,147151,2022
975666,976069,2008
975666,976069,2009
975666,976069,2010
975666,976069,2011
975666,976069,2012
975666,976069,2013
975666,976069,2014
975666,976069,2015
975666,976069,2016
975666,976069,2017
975666,976038,2018
975666,976038,2019
975666,976038,2020
975666,976038,2021
975666,976038,2022
975680,976083,2008
975680,976083,2009
975680,976083,2010
975680,976083,2011
975680,976083,2012
975680,976083,2013
975680,976083,2014
975680,976083,2015
975680,976083,2016
975680,976083,2017
975680,979230,2018
975680,979230,2019
975680,979230,2020
975680,979230,2021
975680,979230,2022
975772,976175,2008
975772,978229,2009
975772,978229,2010
975772,978229,2011
975772,978229,2012
975772,978229,2013
975772,978229,2014
975772,978229,2015
975772,978229,2016
975772,978229,2017
975772,978229,2018
975772,978229,2019
975772,978229,2020
975772,978229,2021
975772,978229,2022
975772,978229,2023
975772,978229,2024
975776,976179,2008
975776,976179,2010
975776,976179,2011
975776,976179,2012
975776,976179,2013
975776,976179,2014
975776,977302,2015
975776,977302,2016
975776,977302,2017
975776,977302,2018
975776,977302,2019
975776,977302,2020
975776,977302,2021
975776,977302,2022
975776,977302,2023
975776,977302,2024
976001,976404,2008
976001,976404,2009
976001,976404,2010
976001,976404,2011
976001,978005,2012
976001,978005,2013
976001,978005,2014
976001,978005,2015
976001,978005,2016
976001,978005,2017
976001,978005,2018
976001,978005,2019
976001,978005,2020
976001,978005,2021
976001,978005,2022
976001,978005,2023
976001,978005,2024
976200,976603,2008
976200,976603,2009
976200,976603,2010
976200,976603,2011
976200,976603,2012
976200,976603,2013
976200,976603,2014
976200,976603,2015
976200,978849,2016
976200,978849,2017
976200,978849,2018
976200,978849,2019
976200,978849,2020
976200,978849,2021
976200,978849,2022
976200,978849,2023
976200,978849,2024
976206,976609,2008
976206,976609,2009
976206,975822,2012
976206,975822,2013
976206,975822,2014
976206,975822,2015
976206,975822,2016
976206,975822,2017
977305,977708,2008
977305,977708,2009
977305,977708,2010
977305,977708,2011
977305,977708,2012
977305,977708,2013
977305,977708,2014
977305,977708,2015
977305,977708,2016
977305,977708,2017
977305,977708,2018
977305,977708,2019
977305,977708,2020
977305,141268,2021
977305,141268,2022
977305,141268,2023
977305,141268,2024
977368,977666,2008
977368,977666,2009
977368,977666,2010
977368,977666,2011
977368,977666,2012
977368,977666,2013
977368,977666,2014
977368,141802,2015
977368,141802,2016
977368,141802,2017
977368,141802,2018
977368,141802,2019
977368,141802,2020
977368,141802,2021
977368,141802,2022
977368,141802,2023
977368,141802,2024
977846,978249,2008
977846,978249,2009
977846,978249,2010
977846,978249,2011
977846,978249,2012
977846,978249,2013
977846,978249,2014
977846,978249,2015
977846,979317,2016
977846,979317,2017
977846,979317,2018
977846,979317,2019
977846,979317,2020
977846,979317,2021
977909,978312,2008
977909,978312,2009
977909,978312,2010
977909,978312,2011
977909,978312,2012
977909,978312,2013
977909,978312,2014
977909,978312,2015
977909,978312,2016
977909,978312,2017
977909,978312,2018
977909,978312,2019
977909,978312,2020
977909,978312,2021
977909,978312,2022
977909,978312,2023
977909,141029,2024
977954,978357,2008
977954,978357,2009
977954,978357,2010
977954,978357,2011
977954,986575,2012
977954,986575,2014
977954,986575,2015
977954,986575,2016
977954,986575,2017
977954,986575,2018
977954,986575,2019
977954,986575,2020
977954,986575,2021
977954,986575,2022
977954,986575,2023
977954,986575,2024
978032,978414,2008
978032,978414,2009
978032,978414,2010
978032,975822,2011
978032,975822,2012
978032,975822,2013
978032,975822,2014
978032,975822,2015
978032,975822,2016
978032,975822,2017
978036,217204,2008
978036,978435,2009
978036,978435,2010
978036,978435,2011
978036,978435,2012
978036,978435,2013
978036,978435,2014
978036,978435,2015
978036,978435,2016
978036,978435,2017
978036,978435,2018
978036,978435,2019
978036,978435,2020
978036,978435,2021
978036,978435,2022
978055,978437,2008
978055,978437,2009
978055,978437,2010
978055,978437,2011
978055,978437,2012
978055,978437,2013
978055,978437,2014
978055,978437,2015
978055,978437,2016
978055,978437,2017
978055,978437,2018
978055,978437,2019
978055,978437,2020
978055,141363,2021
978055,141363,2022
978055,141363,2023
978055,141363,2024
978275,978657,2008
978275,978657,2009
978275,978657,2010
978275,978657,2011
978275,978657,2012
978275,978657,2013
978275,978657,2014
978275,978657,2015
978275,978657,2016
978275,978657,2017
978275,978657,2018
978275,978657,2019
978275,978657,2020
978275,978657,2021
978275,978657,2022
978275,978657,2023
978275,141085,2024
978478,978860,2008
978478,978860,2009
978478,978860,2010
978478,978860,2011
978478,978860,2012
978478,978860,2013
978478,978860,2014
978478,978860,2015
978478,978860,2016
978478,978860,2017
978478,978860,2018
978478,978860,2019
978478,978860,2020
978478,978860,2021
978478,976258,2022
978478,976258,2023
978478,976258,2024
978617,978999,2008
978617,978999,2009
978617,978999,2010
978617,978999,2011
978617,978999,2012
978617,978999,2013
978617,978999,2014
978617,976038,2015
978617,976038,2016
978617,976038,2017
978617,976038,2018
978617,976038,2019
978617,976038,2020
978617,976038,2021
978617,976038,2022
978617,976038,2023
978617,976038,2024
978642,979024,2008
978642,979024,2009
978642,979024,2010
978642,979024,2011
978642,979024,2012
978642,979024,2013
978642,979024,2014
978642,979024,2015
978642,979024,2016
978642,979024,2017
978642,979024,2018
978642,979024,2019
978642,979024,2020
978642,979024,2021
978642,979024,2022
978642,366994,2023
978642,366994,2024
978723,978081,2008
978723,978639,2018
978723,978639,2019
978723,978639,2020
