termino,anio,beta,ee,ic_inf,ic_sup,outcome,anio_base
ANIO_F::2023:bite2022_de,2023,0.2820819731404469,0.8291074071199218,-1.3429685448145998,1.9071324910954937,empleo_temporal,2022
ANIO_F::2024:bite2022_de,2024,1.114579305773968,0.9426272533718703,-0.7329701108348978,2.9621287223828334,empleo_temporal,2022
ANIO_F::2015:bite2019_de,2015,-1.43982801091823,0.5230350299140663,-2.4649766695497997,-0.4146793522866601,participacion_permanente,2019
ANIO_F::2016:bite2019_de,2016,-0.7926985591913532,0.46894805504948706,-1.711836747088348,0.1264396287056414,participacion_permanente,2019
ANIO_F::2017:bite2019_de,2017,0.01487247628243743,0.44103343204304085,-0.8495530505219226,0.8792980030867974,participacion_permanente,2019
ANIO_F::2018:bite2019_de,2018,0.13934242655918835,0.3937577928272989,-0.6324228473823175,0.9111077005006942,participacion_permanente,2019
ANIO_F::2019:bite2019_de,2019,1.1180159009278203,0.31101267694451296,0.508431054116575,1.7276007477390656,participacion_permanente,2019
ANIO_F::2021:bite2019_de,2021,0.24189501620964796,0.2082124190684324,-0.16620132516447958,0.6499913575837755,participacion_permanente,2019
referencia,2022,0,0,0,0,participacion_permanente,2019
ANIO_F::2023:bite2019_de,2023,-0.10646506729914909,0.21492732878357299,-0.5277226317149522,0.3147924971166539,participacion_permanente,2019
ANIO_F::2024:bite2019_de,2024,-0.37546526274208614,0.2811049975380182,-0.9264310579166019,0.17550053243242958,participacion_permanente,2019
ANIO_F::2015:bite2021_de,2015,-2.306662106342645,0.5070431762045516,-3.3004667317035663,-1.312857480981724,participacion_permanente,2021
ANIO_F::2016:bite2021_de,2016,-2.3342759386013143,0.4711073063122448,-3.257646258973314,-1.4109056182293145,participacion_permanente,2021
ANIO_F::2017:bite2021_de,2017,-1.5661506520120436,0.4396114365343463,-2.4277890676193623,-0.7045122364047248,participacion_permanente,2021
ANIO_F::2018:bite2021_de,2018,-0.9900426419457438,0.3736093492747709,-1.7223169665242948,-0.25776831736719275,participacion_permanente,2021
ANIO_F::2019:bite2021_de,2019,-0.6269956553536387,0.31701563982075276,-1.2483463094023142,-0.00564500130496326,participacion_permanente,2021
ANIO_F::2021:bite2021_de,2021,0.39306245148065255,0.21721501631406462,-0.03267898049491408,0.8188038834562192,participacion_permanente,2021
referencia,2022,0,0,0,0,participacion_permanente,2021
ANIO_F::2023:bite2021_de,2023,-0.34135594540350056,0.23165547131848094,-0.7954006691877231,0.11268877838072205,participacion_permanente,2021
ANIO_F::2024:bite2021_de,2024,-0.7383739939223994,0.2955070823737432,-1.317567875374936,-0.15918011246986286,participacion_permanente,2021
ANIO_F::2015:bite2022_de,2015,-3.871950347207672,0.5319337256054429,-4.91454044939434,-2.829360245021004,participacion_permanente,2022
ANIO_F::2016:bite2022_de,2016,-3.623935478319914,0.48033309093489646,-4.565388336552311,-2.6824826200875167,participacion_permanente,2022
ANIO_F::2017:bite2022_de,2017,-2.806645903525406,0.4478794148823572,-3.6844895566948264,-1.9288022503559858,participacion_permanente,2022
ANIO_F::2018:bite2022_de,2018,-2.2111198000226304,0.395680202745315,-2.9866529974034477,-1.4355866026418131,participacion_permanente,2022
ANIO_F::2019:bite2022_de,2019,-1.4315189314756434,0.3416389806292853,-2.1011313335090427,-0.7619065294422441,participacion_permanente,2022
ANIO_F::2021:bite2022_de,2021,-0.548097240976314,0.22992669586200593,-0.9987535648658455,-0.09744091708678237,participacion_permanente,2022
referencia,2022,0,0,0,0,participacion_permanente,2022
ANIO_F::2023:bite2022_de,2023,-0.9474459807537982,0.28103009225726694,-1.4982649615780415,-0.39662699992955497,participacion_permanente,2022
