variable,tipo_dimension,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
asinh_C7R10C2,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.017038,0.038649,-0.4408,0.6594,-0.092804,0.058728,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.016034,0.039526,-0.4057,0.685,-0.093519,0.06145,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_C7R10C2,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.076728,0.041652,-1.8421,0.0655,-0.15838,0.004924,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.00795,0.002235,3.5565,3.787e-4,0.003568,0.012332,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2017:exposicion_10pp,0.006043,0.002401,2.517,0.01186,0.001336,0.010749,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2018:exposicion_10pp,0.012561,0.002588,4.8537,1.242e-6,0.007488,0.017635,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2019:exposicion_10pp,0.02029,0.00221,9.1817,5.698e-20,0.015958,0.024622,2015 (ref.); especificacion: Sin controles
asinh_VALORVEN,mecanismo_extension,ANIO_F::2016:exposicion_10pp,0.004683,0.008203,0.5708,0.5681,-0.011398,0.020764,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2017:exposicion_10pp,-0.003367,0.008288,-0.4063,0.6845,-0.019615,0.01288,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2018:exposicion_10pp,-0.009688,0.007795,-1.2428,0.214,-0.02497,0.005593,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
asinh_VALORVEN,mecanismo_extension,ANIO_F::2019:exposicion_10pp,-0.007346,0.006594,-1.114,0.2653,-0.020273,0.005581,2015 (ref.); especificacion: Con sector*anio + tamano*anio + departamento*anio
