NORDEST,n_anios,n_dptos_distintos,secuencia,patron,anio_cambio,dpto_antes,dpto_despues
142646,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2020,11,25
142706,5,2,2011:68 | 2012:68 | 2013:11 | 2015:11 | 2016:11,cambio_sostenido,2013,68,11
142731,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2017,11,25
142738,6,2,2010:11 | 2011:11 | 2012:25 | 2013:25 | 2014:25 | 2015:25,cambio_sostenido,2012,11,25
142758,12,2,2010:25 | 2011:25 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25,patron_irregular,NA,NA,NA
142812,14,2,2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:15 | 2023:11 | 2024:11,salto_aislado,2022,11,15
142816,14,2,2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:25 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2016,11,25
142832,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:25 | 2018:25 | 2019:25 | 2020:25 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2017,11,25
142852,8,2,2014:99 | 2015:99 | 2016:99 | 2017:5 | 2018:5 | 2019:5 | 2020:5 | 2021:5,cambio_sostenido,2017,99,5
143008,12,2,2010:5 | 2011:5 | 2012:5 | 2013:54 | 2015:54 | 2016:54 | 2017:54 | 2018:54 | 2019:54 | 2020:54 | 2021:54 | 2022:54,cambio_sostenido,2013,5,54
143176,11,2,2010:25 | 2011:25 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11,cambio_sostenido,2012,25,11
143185,15,2,2010:25 | 2011:25 | 2012:25 | 2013:25 | 2014:25 | 2015:25 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:11 | 2022:11 | 2023:11 | 2024:11,cambio_sostenido,2016,25,11
143191,15,2,2010:11 | 2011:11 | 2012:11 | 2013:11 | 2014:11 | 2015:11 | 2016:11 | 2017:11 | 2018:11 | 2019:11 | 2020:11 | 2021:25 | 2022:25 | 2023:25 | 2024:25,cambio_sostenido,2021,11,25
