fuente,variable,presencia_en_archivos
EAM,c3r10c3_20,1
EAM,c3r10c3_21,1
EAM,c3r10c3_22,1
EAM,c3r10c3_23,1
EAM,c3r10c3_24,1
EAM,c3r10c3_25,1
EAM,c3r10c3_26,1
EAM,c3r10c3_27,1
EAM,c3r10c3_28,1
EAM,c3r10c3_29,1
EAM,c3r10c3_3,1
EAM,c3r10c3_30,1
EAM,c3r10c3_31,1
EAM,c3r10c3_32,1
EAM,c3r10c3_33,1
EAM,c3r10c3_34,1
EAM,c3r10c3_35,1
EAM,c3r10c3_36,1
EAM,c3r10c3_37,1
EAM,c3r10c3_38,1
EAM,c3r10c3_39,1
EAM,c3r10c3_4,1
EAM,c3r10c3_40,1
EAM,c3r10c3_41,1
EAM,c3r10c3_42,1
EAM,c3r10c3_5,1
EAM,c3r10c3_6,1
EAM,c3r10c3_7,1
EAM,c3r10c3_8,1
EAM,c3r10c3_9,1
EAM,c3r10pt,1
EAM,c3r10pt_10,1
EAM,c3r10pt_11,1
EAM,c3r10pt_12,1
EAM,c3r10pt_13,1
EAM,c3r10pt_14,1
EAM,c3r10pt_15,1
EAM,c3r10pt_16,1
EAM,c3r10pt_17,1
EAM,c3r10pt_18,1
EAM,c3r10pt_19,1
EAM,c3r10pt_2,1
EAM,c3r10pt_20,1
EAM,c3r10pt_21,1
EAM,c3r10pt_22,1
EAM,c3r10pt_23,1
EAM,c3r10pt_24,1
EAM,c3r10pt_25,1
EAM,c3r10pt_26,1
EAM,c3r10pt_27,1
EAM,c3r10pt_28,1
EAM,c3r10pt_29,1
EAM,c3r10pt_3,1
EAM,c3r10pt_30,1
EAM,c3r10pt_31,1
EAM,c3r10pt_32,1
EAM,c3r10pt_33,1
EAM,c3r10pt_34,1
EAM,c3r10pt_35,1
EAM,c3r10pt_36,1
EAM,c3r10pt_37,1
EAM,c3r10pt_38,1
EAM,c3r10pt_39,1
EAM,c3r10pt_4,1
EAM,c3r10pt_40,1
EAM,c3r10pt_41,1
EAM,c3r10pt_42,1
EAM,c3r10pt_5,1
EAM,c3r10pt_6,1
EAM,c3r10pt_7,1
EAM,c3r10pt_8,1
EAM,c3r10pt_9,1
EAM,c3r13c1,1
EAM,c3r13c1_10,1
EAM,c3r13c1_11,1
EAM,c3r13c1_12,1
EAM,c3r13c1_13,1
EAM,c3r13c1_14,1
EAM,c3r13c1_15,1
EAM,c3r13c1_16,1
EAM,c3r13c1_17,1
EAM,c3r13c1_18,1
EAM,c3r13c1_19,1
EAM,c3r13c1_2,1
EAM,c3r13c1_20,1
EAM,c3r13c1_21,1
