variable,medida,term,estimate,std.error,statistic,p.value,conf.low,conf.high,grupo_base_omitido
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2018:bite_1sd,-0.168111,0.029185,-5.7601,8.907e-9,-0.225327,-0.110895,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2019:bite_1sd,-0.114957,0.030334,-3.7897,1.526e-4,-0.174425,-0.055488,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2016:bite_1sd,-0.028249,0.09708,-0.291,0.7711,-0.218568,0.16207,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2017:bite_1sd,-0.016712,0.10387,-0.1609,0.8722,-0.220342,0.186918,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2018:bite_1sd,-0.197829,0.095019,-2.082,0.03739,-0.384109,-0.01155,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_C7R10C2,Bite2022_obreros,ANIO_F::2019:bite_1sd,-0.129877,0.105774,-1.2279,0.2195,-0.33724,0.077485,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2016:bite_1sd,0.010533,0.003662,2.876,0.004044,0.003353,0.017713,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2017:bite_1sd,0.010494,0.003307,3.1735,0.001515,0.004011,0.016977,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2018:bite_1sd,0.026912,0.003592,7.4915,8.004e-14,0.019869,0.033954,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2019:bite_1sd,0.041813,0.004136,10.1092,8.486e-24,0.033704,0.049922,2015 (ref.); Bite2022_obreros; especificacion: Sin controles
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2016:bite_1sd,-0.009465,0.010559,-0.8964,0.3701,-0.030166,0.011236,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2017:bite_1sd,-0.011429,0.009964,-1.147,0.2514,-0.030963,0.008105,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2018:bite_1sd,-0.025658,0.013203,-1.9434,0.05203,-0.051541,2.25e-4,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
asinh_VALORVEN,Bite2022_obreros,ANIO_F::2019:bite_1sd,-0.036833,0.014696,-2.5063,0.01223,-0.065644,-0.008022,2015 (ref.); Bite2022_obreros; especificacion: Con sector*anio + tamano*anio
