NORDEMP,n_establecimientos_con_exposicion,exposicion_min,exposicion_max,rango_max_menos_min,desviacion_estandar,n_departamentos_distintos
867490,2,0.14942528735632185,0.28735632183908044,0.1379,0.0975,2
367157,3,0.6842105263157895,0.8181818181818182,0.134,0.0675,2
145493,3,0.3684210526315789,0.5,0.1316,0.076,1
986356,2,0.6235011990407674,0.75,0.1265,0.0894,1
865586,2,0.31414868105515587,0.4397905759162304,0.1256,0.0888,2
976188,2,0.4339622641509434,0.5531914893617021,0.1192,0.0843,2
145941,2,0.4605263157894737,0.5784023668639053,0.1179,0.0834,2
976258,2,0.7821428571428571,0.9,0.1179,0.0833,2
982117,2,0.6379310344827587,0.7532467532467533,0.1153,0.0815,2
982507,2,0.6065573770491803,0.7200520833333334,0.1135,0.0803,1
982079,5,0.4930555555555556,0.6063348416289592,0.1133,0.0427,5
986337,2,0.7345575959933222,0.8461538461538461,0.1116,0.0789,2
984862,3,0.532051282051282,0.6423357664233577,0.1103,0.057,2
143585,2,0.6534653465346535,0.762962962962963,0.1095,0.0774,1
146668,2,0.32954545454545453,0.43529411764705883,0.1057,0.0748,2
978641,2,0.6382978723404256,0.7435897435897436,0.1053,0.0745,2
975731,2,0.8344827586206897,0.9390243902439024,0.1045,0.0739,1
975711,2,0.18181818181818182,0.2857142857142857,0.1039,0.0735,2
146444,2,0.5777777777777777,0.68,0.1022,0.0723,1
976632,3,0.5342465753424658,0.6352941176470588,0.101,0.0547,3
866284,2,0.2857142857142857,0.38461538461538464,0.0989,0.0699,1
983440,2,0.5691489361702128,0.6666666666666666,0.0975,0.069,2
983310,2,0.4034334763948498,0.5,0.0966,0.0683,2
982887,2,0.6571428571428571,0.7529411764705882,0.0958,0.0677,1
979932,2,0.6231003039513677,0.7188208616780045,0.0957,0.0677,2
142345,2,0.8421052631578947,0.9375,0.0954,0.0675,1
982064,2,0.11320754716981132,0.2,0.0868,0.0614,2
987001,2,0.5,0.5862068965517241,0.0862,0.061,1
987170,6,0.7431906614785992,0.8292682926829268,0.0861,0.0322,5
977409,2,0.4792626728110599,0.5625,0.0832,0.0589,2
141365,2,0.6129032258064516,0.6956521739130435,0.0827,0.0585,2
147151,2,0.47530864197530864,0.5555555555555556,0.0802,0.0567,1
979584,2,0.3275862068965517,0.4077669902912621,0.0802,0.0567,2
141919,3,0.5,0.5795454545454546,0.0795,0.0459,3
977132,2,0.7422680412371134,0.8181818181818182,0.0759,0.0537,1
983655,2,0.7402597402597403,0.8148148148148148,0.0746,0.0527,2
987574,2,0.36363636363636365,0.4375,0.0739,0.0522,1
975631,2,0.13651877133105803,0.21008403361344538,0.0736,0.052,2
141847,2,0.7380952380952381,0.8089887640449438,0.0709,0.0501,1
979052,2,0.4605263157894737,0.527363184079602,0.0668,0.0473,1
145175,2,0.6703296703296703,0.7313432835820896,0.061,0.0431,2
980052,2,0.5,0.5597826086956522,0.0598,0.0423,2
978639,2,0.8421052631578947,0.9018538713195202,0.0597,0.0422,2
986986,3,0.5906040268456376,0.6474820143884892,0.0569,0.0307,2
979083,2,0.631578947368421,0.6829268292682927,0.0513,0.0363,2
984086,2,0.6051612903225806,0.6526315789473685,0.0475,0.0336,1
979130,2,0.47863247863247865,0.5238095238095238,0.0452,0.0319,1
982094,2,0.5111111111111111,0.5555555555555556,0.0444,0.0314,2
979138,5,0.859375,0.9026548672566371,0.0433,0.0193,1
982191,2,0.7908814589665654,0.8333333333333334,0.0425,0.03,2
147526,2,0.35833333333333334,0.4,0.0417,0.0295,1
866283,2,0.375,0.4166666666666667,0.0417,0.0295,1
980911,2,0.625,0.6666666666666666,0.0417,0.0295,1
975575,2,0.5454545454545454,0.5833333333333334,0.0379,0.0268,1
145409,2,0.390625,0.42592592592592593,0.0353,0.025,2
986882,2,0.4657534246575342,0.5,0.0342,0.0242,2
867412,2,0.16666666666666666,0.2,0.0333,0.0236,1
977302,2,0.3230769230769231,0.35514018691588783,0.0321,0.0227,2
983949,2,0.6428571428571429,0.6744868035190615,0.0316,0.0224,2
973348,2,0.7136752136752137,0.7410071942446043,0.0273,0.0193,2
866869,2,0.32142857142857145,0.34782608695652173,0.0264,0.0187,2
981666,2,0.5212765957446809,0.5461538461538461,0.0249,0.0176,2
142299,2,0.7666666666666667,0.788235294117647,0.0216,0.0153,1
981658,2,0.42857142857142855,0.45,0.0214,0.0152,1
986082,2,0.7142857142857143,0.7352941176470589,0.021,0.0149,2
975882,3,0.8064516129032258,0.8271604938271605,0.0207,0.0111,2
143630,2,0.8199566160520607,0.8405228758169935,0.0206,0.0145,2
142460,2,0.8703703703703703,0.8888888888888888,0.0185,0.0131,1
366920,2,0.8154362416107382,0.8333333333333334,0.0179,0.0127,1
141838,2,0.7524752475247525,0.7692307692307693,0.0168,0.0118,2
984014,2,0.6494845360824743,0.6642105263157895,0.0147,0.0104,1
865665,2,0.2,0.21428571428571427,0.0143,0.0101,2
146962,2,0.7365269461077845,0.75,0.0135,0.0095,1
147121,2,0.7827426810477658,0.7948717948717948,0.0121,0.0086,2
981025,2,0.4349775784753363,0.44680851063829785,0.0118,0.0084,2
366994,2,0.6363636363636364,0.6451612903225806,0.0088,0.0062,2
142327,2,0.9375,0.9444444444444444,0.0069,0.0049,1
976580,2,0.6641366223908919,0.6692307692307692,0.0051,0.0036,2
146325,2,0.7468354430379747,0.75,0.0032,0.0022,1
367251,2,0.5774647887323944,0.5804597701149425,0.003,0.0021,2
982172,2,0.207035175879397,0.20748299319727892,4e-4,3e-4,1
141327,1,0,0,0,NA,5
141448,2,0.7619047619047619,0.7619047619047619,0,0,1
141803,2,0,0,0,0,1
142343,2,0.7727272727272727,0.7727272727272727,0,0,1
146088,5,1,1,0,0,2
865906,3,1,1,0,0,1
975518,2,1,1,0,0,1
977239,1,0.3914081145584726,0.3914081145584726,0,NA,2
977301,2,0.3230769230769231,0.3230769230769231,0,0,1
979144,2,0.7952755905511811,0.7952755905511811,0,0,1
